disruption_id,disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change,risk_score,severity_label
DIS-000001,Factory Incident,Pharmaceuticals,1,Asia-Pacific,Large,False,2,54.3,11376013.16,Customer Delay,14,3,59,False,2,Medium
DIS-000002,Cyber Attack,Electronics,2,Asia-Pacific,Medium,True,4,52.4,1199054.59,Alternative Supplier,1,29,97,True,4,Critical
DIS-000003,Port Congestion,Electronics,1,Asia-Pacific,Small,True,2,32.4,228848.77,Alternative Supplier,1,18,67,True,2,Medium
DIS-000004,Labor Strike,Electronics,2,Europe,Large,True,1,15.7,2257287.82,Alternative Supplier,1,18,36,False,1,Low
DIS-000005,Geopolitical,Electronics,1,South America,Medium,True,2,32.9,965588.44,Alternative Supplier,7,11,61,True,2,Medium
DIS-000006,Geopolitical,Pharmaceuticals,1,Asia-Pacific,Small,False,2,25.4,597508.89,Production Reroute,1,15,40,False,2,Medium
DIS-000007,Natural Disaster,Consumer Goods,2,Europe,Medium,False,3,45.9,191433.87,Inventory Buffer,5,14,58,False,3,High
DIS-000008,Cyber Attack,Consumer Goods,3,Asia-Pacific,Large,True,4,38.2,3097218.68,Combined Strategy,1,35,92,True,4,Critical
DIS-000009,Port Congestion,Electronics,2,Europe,Medium,False,3,29.9,376504.46,Customer Delay,10,133,228,False,3,High
DIS-000010,Port Congestion,Electronics,1,Asia-Pacific,Large,False,3,55.1,13234325.81,Production Reroute,29,22,103,False,3,High
DIS-000011,Natural Disaster,Automotive,1,North America,Large,True,2,31.6,685491.74,Combined Strategy,5,31,40,False,2,Medium
DIS-000012,Cyber Attack,Consumer Goods,1,Europe,Medium,True,4,57.0,498034.77,Combined Strategy,2,77,164,True,4,Critical
DIS-000013,Port Congestion,Automotive,1,North America,Large,True,2,25.8,1368252.83,Alternative Supplier,1,10,80,True,2,Medium
DIS-000014,Geopolitical,Electronics,1,North America,Large,False,2,22.9,1107318.15,Production Reroute,1,12,20,True,2,Medium
DIS-000015,Geopolitical,Automotive,1,Asia-Pacific,Small,False,2,29.0,208865.5,Customer Delay,1,9,74,False,2,Medium
DIS-000016,Geopolitical,Pharmaceuticals,2,Europe,Large,True,2,33.9,11474580.44,Combined Strategy,1,18,80,True,2,Medium
DIS-000017,Geopolitical,Electronics,3,Europe,Small,False,1,7.8,32362.44,Production Reroute,1,35,62,False,1,Low
DIS-000018,Labor Strike,Electronics,3,Europe,Medium,True,2,34.9,542817.81,Alternative Supplier,1,6,17,False,2,Medium
DIS-000019,Factory Incident,Electronics,1,Asia-Pacific,Large,False,3,34.9,7631702.06,Combined Strategy,4,36,94,True,3,High
DIS-000020,Geopolitical,Automotive,1,Africa/Middle East,Medium,True,2,47.1,1281579.65,Alternative Supplier,2,4,34,False,2,Medium
DIS-000021,Port Congestion,Consumer Goods,3,Asia-Pacific,Small,True,3,16.3,41748.06,Alternative Supplier,1,41,72,False,3,High
DIS-000022,Natural Disaster,Electronics,2,Asia-Pacific,Medium,True,3,42.4,856829.71,Alternative Supplier,4,56,92,False,3,High
DIS-000023,Geopolitical,Pharmaceuticals,4,Europe,Medium,False,3,28.0,2308568.69,Alternative Supplier,25,50,70,True,3,High
DIS-000024,Factory Incident,Consumer Goods,2,Asia-Pacific,Medium,False,3,36.7,930188.1,Inventory Buffer,4,48,100,False,3,High
DIS-000025,Labor Strike,Automotive,1,Africa/Middle East,Large,True,2,9.9,884590.87,Alternative Supplier,4,7,36,False,2,Medium
DIS-000026,Port Congestion,Electronics,1,Asia-Pacific,Medium,True,1,9.6,55353.4,Customer Delay,3,3,28,False,1,Low
DIS-000027,Geopolitical,Automotive,4,North America,Medium,True,1,26.2,679010.51,Alternative Supplier,2,6,23,True,1,Low
DIS-000028,Labor Strike,Aerospace,1,North America,Medium,False,2,21.0,2219496.95,Inventory Buffer,4,30,85,True,2,Medium
DIS-000029,Labor Strike,Electronics,1,North America,Small,False,1,14.8,144280.2,Customer Delay,1,4,17,False,1,Low
