disruption_id,disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change
DIS-000001,factory incident,pharmaceuticals,1,asia-pacific,large,False,2,54.3,11376013.16,customer delay,14,3,59,False
DIS-000002,cyber attack,electronics,2,asia-pacific,medium,True,4,52.4,1199054.59,alternative supplier,1,29,97,True
DIS-000003,port congestion,electronics,1,asia-pacific,small,True,2,32.4,228848.77,alternative supplier,1,18,67,True
DIS-000004,labor strike,electronics,2,europe,large,True,1,15.7,2257287.82,alternative supplier,1,18,36,False
DIS-000005,geopolitical,electronics,1,south america,medium,True,2,32.9,965588.44,alternative supplier,7,11,61,True
DIS-000006,geopolitical,pharmaceuticals,1,asia-pacific,small,False,2,25.4,597508.89,production reroute,1,15,40,False
DIS-000007,natural disaster,consumer goods,2,europe,medium,False,3,45.9,191433.87,inventory buffer,5,14,58,False
DIS-000008,cyber attack,consumer goods,3,asia-pacific,large,True,4,38.2,3097218.68,combined strategy,1,35,92,True
DIS-000009,port congestion,electronics,2,europe,medium,False,3,29.9,376504.46,customer delay,10,133,228,False
DIS-000010,port congestion,electronics,1,asia-pacific,large,False,3,55.1,13234325.81,production reroute,29,22,103,False
DIS-000011,natural disaster,automotive,1,north america,large,True,2,31.6,685491.74,combined strategy,5,31,40,False
DIS-000012,cyber attack,consumer goods,1,europe,medium,True,4,57.0,498034.77,combined strategy,2,77,164,True
DIS-000013,port congestion,automotive,1,north america,large,True,2,25.8,1368252.83,alternative supplier,1,10,80,True
DIS-000014,geopolitical,electronics,1,north america,large,False,2,22.9,1107318.15,production reroute,1,12,20,True
DIS-000015,geopolitical,automotive,1,asia-pacific,small,False,2,29.0,208865.5,customer delay,1,9,74,False
DIS-000016,geopolitical,pharmaceuticals,2,europe,large,True,2,33.9,11474580.44,combined strategy,1,18,80,True
DIS-000017,geopolitical,electronics,3,europe,small,False,1,7.8,32362.44,production reroute,1,35,62,False
DIS-000018,labor strike,electronics,3,europe,medium,True,2,34.9,542817.81,alternative supplier,1,6,17,False
DIS-000019,factory incident,electronics,1,asia-pacific,large,False,3,34.9,7631702.06,combined strategy,4,36,94,True
DIS-000020,geopolitical,automotive,1,africa/middle east,medium,True,2,47.1,1281579.65,alternative supplier,2,4,34,False
DIS-000021,port congestion,consumer goods,3,asia-pacific,small,True,3,16.3,41748.06,alternative supplier,1,41,72,False
DIS-000022,natural disaster,electronics,2,asia-pacific,medium,True,3,42.4,856829.71,alternative supplier,4,56,92,False
DIS-000023,geopolitical,pharmaceuticals,4,europe,medium,False,3,28.0,2308568.69,alternative supplier,25,50,70,True
DIS-000024,factory incident,consumer goods,2,asia-pacific,medium,False,3,36.7,930188.1,inventory buffer,4,48,100,False
